<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
USDRUB;D;20220919;030000;60.0685
USDRUB;D;20220920;030000;60.65
USDRUB;D;20220921;030000;61.5858
USDRUB;D;20220922;030000;59.9009
USDRUB;D;20220923;030000;56.87
USDRUB;D;20220925;030000;56.5
USDRUB;D;20220926;030000;58.4908
USDRUB;D;20220927;030000;58.8969
USDRUB;D;20220928;030000;57.8826
USDRUB;D;20220929;030000;56
USDRUB;D;20220930;030000;59.2
USDRUB;D;20221002;030000;60.2238
USDRUB;D;20221003;030000;59.25
USDRUB;D;20221004;030000;58.525
USDRUB;D;20221005;030000;60
USDRUB;D;20221006;030000;60.75
USDRUB;D;20221007;030000;60.95
USDRUB;D;20221010;030000;63.06
USDRUB;D;20221011;030000;65.4919
USDRUB;D;20221012;030000;63.8
USDRUB;D;20221013;030000;63.9923
USDRUB;D;20221014;030000;61.9
USDRUB;D;20221016;030000;61.15
USDRUB;D;20221017;030000;61.05
USDRUB;D;20221018;030000;60.5
USDRUB;D;20221019;030000;61.85
USDRUB;D;20221020;030000;61.5
USDRUB;D;20221021;030000;60.65
USDRUB;D;20221024;030000;61
USDRUB;D;20221025;030000;60.25
USDRUB;D;20221026;030000;61.25
USDRUB;D;20221027;030000;61.3
USDRUB;D;20221028;030000;61.5
USDRUB;D;20221030;030000;61.5
USDRUB;D;20221031;030000;61
USDRUB;D;20221101;030000;61.75
USDRUB;D;20221102;030000;60.7
USDRUB;D;20221103;030000;61.35
USDRUB;D;20221104;030000;61.9
USDRUB;D;20221106;030000;60.95
USDRUB;D;20221107;030000;60.7
USDRUB;D;20221108;030000;60.5
USDRUB;D;20221109;030000;60.45
USDRUB;D;20221110;030000;60.525
USDRUB;D;20221111;030000;59.55
USDRUB;D;20221113;030000;59.55
USDRUB;D;20221114;030000;60.375
USDRUB;D;20221115;030000;61.3
USDRUB;D;20221116;030000;59.77
USDRUB;D;20221117;030000;59.525
USDRUB;D;20221118;030000;59.46
USDRUB;D;20221120;030000;59.85
USDRUB;D;20221121;030000;61.075
USDRUB;D;20221122;030000;60.65
USDRUB;D;20221123;030000;59.8
USDRUB;D;20221124;030000;60.35
USDRUB;D;20221125;030000;59.75
USDRUB;D;20221128;030000;60.85
USDRUB;D;20221129;030000;60.83
USDRUB;D;20221130;030000;60.925
USDRUB;D;20221201;030000;61.2
USDRUB;D;20221202;030000;61.57
USDRUB;D;20221204;030000;61.5
USDRUB;D;20221205;030000;61.625
USDRUB;D;20221206;030000;62.4
USDRUB;D;20221207;030000;62.547
USDRUB;D;20221208;030000;62.4
USDRUB;D;20221209;030000;62.5
USDRUB;D;20221211;030000;62.5
USDRUB;D;20221212;030000;62.25
USDRUB;D;20221213;030000;62.822
USDRUB;D;20221214;030000;64.747
USDRUB;D;20221215;030000;63.65
USDRUB;D;20221216;030000;63.875
USDRUB;D;20221218;030000;64
USDRUB;D;20221219;030000;66
USDRUB;D;20221220;030000;69.25
USDRUB;D;20221221;030000;71.42
USDRUB;D;20221222;030000;67
USDRUB;D;20221223;030000;68
USDRUB;D;20221226;030000;69.247
USDRUB;D;20221227;030000;69
USDRUB;D;20221228;030000;71.75
USDRUB;D;20221229;030000;73
USDRUB;D;20221230;030000;72.5
USDRUB;D;20230101;030000;73.65
USDRUB;D;20230102;030000;71.0007
USDRUB;D;20230103;030000;72.6716
USDRUB;D;20230104;030000;71.5
USDRUB;D;20230105;030000;72.147
USDRUB;D;20230106;030000;72.4878
USDRUB;D;20230108;030000;72.429
USDRUB;D;20230109;030000;69.9112
USDRUB;D;20230110;030000;69.6647
USDRUB;D;20230111;030000;69.1427
USDRUB;D;20230112;030000;66.35
USDRUB;D;20230113;030000;68.9958
USDRUB;D;20230115;030000;68.976
USDRUB;D;20230116;030000;68.7385
USDRUB;D;20230117;030000;68.726
USDRUB;D;20230118;030000;69.1779
USDRUB;D;20230119;030000;69.3972
USDRUB;D;20230120;030000;69.101
USDRUB;D;20230122;030000;69.0411
